pathogen,scoring,detector,family,mcc_layer_a,mcc_layer_c,f1_layer_a,f1_layer_c,n_detected,n_gt_a,n_gt_c
H3N2,fubar_pos_sel,AdaptWin(s=90),AdaptWin,-0.025106,0.02244,0.0,0.033613,7,25,112
H3N2,fubar_pos_sel,AdaptWin(s=85),AdaptWin,0.165984,0.031733,0.171429,0.04918,10,25,112
H3N2,fubar_pos_sel,FreqThresh(p=80),FreqThresh,0.100625,0.031733,0.114286,0.04918,10,25,112
H3N2,fubar_pos_sel,FreqThresh(p=85),FreqThresh,0.119008,-0.024559,0.121212,0.016667,8,25,112
H3N2,fubar_pos_sel,FreqThresh(p=90),FreqThresh,-0.021179,-0.001492,0.0,0.017094,5,25,112
H3N2,fubar_pos_sel,FreqThresh(p=95),FreqThresh,-0.016375,0.023408,0.0,0.017391,3,25,112
H3N2,fubar_pos_sel,"SWAN(w=10,k=1.0)",SWAN,0.23697,0.045304,0.266667,0.090909,20,25,112
H3N2,fubar_pos_sel,"SWAN(w=10,k=1.5)",SWAN,0.206079,0.078172,0.216216,0.080645,12,25,112
H3N2,fubar_pos_sel,"SWAN(w=10,k=2.0)",SWAN,0.206079,0.078172,0.216216,0.080645,12,25,112
H3N2,fubar_pos_sel,"SWAN(w=20,k=1.0)",SWAN,0.209281,0.089678,0.244898,0.132353,24,25,112
H3N2,fubar_pos_sel,"SWAN(w=20,k=1.5)",SWAN,0.296939,0.060663,0.307692,0.079365,14,25,112
H3N2,fubar_pos_sel,"SWAN(w=20,k=2.0)",SWAN,0.296939,0.060663,0.307692,0.079365,14,25,112
H3N2,fubar_pos_sel,"SWAN(w=50,k=1.0)",SWAN,0.209281,0.067534,0.244898,0.117647,24,25,112
H3N2,fubar_pos_sel,"SWAN(w=50,k=1.5)",SWAN,0.229382,0.062991,0.26087,0.105263,21,25,112
H3N2,fubar_pos_sel,"SWAN(w=50,k=2.0)",SWAN,0.229382,0.062991,0.26087,0.105263,21,25,112
H3N2,fubar_pos_sel,MutClust-Orig(g=10),MutClust-Orig,0.197122,0.074905,0.237288,0.150685,34,25,112
H3N2,fubar_bf,Wavelet(t=1.0),Wavelet,0.443874,-0.044169,0.425532,0.121547,69,25,112
H3N2,fubar_bf,Wavelet(t=1.5),Wavelet,0.534058,-0.01987,0.555556,0.070922,29,25,112
H3N2,fubar_bf,Wavelet(t=2.0),Wavelet,0.450172,-0.01812,0.465116,0.046154,18,25,112
H3N2,fubar_bf,KDE(p=75),KDE,0.380043,-0.042561,0.310559,0.193548,136,25,112
H3N2,fubar_bf,KDE(p=80),KDE,0.438366,-0.039572,0.373134,0.171946,109,25,112
H3N2,fubar_bf,KDE(p=85),KDE,0.496351,-0.062457,0.448598,0.123711,82,25,112
H3N2,fubar_bf,SlidingTest(p=0.01),SlidingTest,0.457254,-0.007825,0.478261,0.06015,21,25,112
H3N2,fubar_bf,SlidingTest(p=0.05),SlidingTest,0.457254,-0.007825,0.478261,0.06015,21,25,112
H3N2,fubar_bf,GradPeak(p=0.2),GradPeak,0.012185,0.096518,0.074074,0.214286,56,25,112
H3N2,fubar_bf,GradPeak(p=0.5),GradPeak,0.040992,0.104989,0.09375,0.18543,39,25,112
H3N2,fubar_bf,LocalContrast(z=1.0),LocalContrast,-0.051242,0.045965,0.022989,0.183908,62,25,112
H3N2,fubar_bf,LocalContrast(z=1.5),LocalContrast,-0.037455,0.049695,0.027397,0.1625,48,25,112
H3N2,fubar_bf,LocalContrast(z=2.0),LocalContrast,-0.016182,0.031503,0.035714,0.111888,31,25,112
H3N2,fubar_bf,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.013357,-0.030995,0.0,0.0,2,25,112
H3N2,fubar_bf,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.009436,-0.021896,0.0,0.0,1,25,112
H3N2,fubar_bf,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.009436,-0.021896,0.0,0.0,1,25,112
H3N2,fubar_bf,AdaptiveKnee,AdaptiveKnee,0.019707,0.031945,0.051282,0.063492,14,25,112
H3N2,fubar_bf,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.004488,-0.023245,0.088235,0.335975,519,25,112
H3N2,fubar_bf,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.040309,-0.005121,0.085868,0.340557,534,25,112
H3N2,fubar_bf,Spectral(z=1.5),Spectral,0.040309,0.040771,0.058824,0.049587,9,25,112
H3N2,fubar_bf,Spectral(z=2.0),Spectral,-0.023222,-0.010344,0.0,0.016949,6,25,112
H3N2,fubar_bf,Bayes(prior=0.1),Bayes,-0.016375,0.023408,0.0,0.017391,3,25,112
H3N2,fubar_bf,Bayes(prior=0.15),Bayes,-0.000575,0.010671,0.042553,0.074627,22,25,112
H3N2,fubar_bf,AdaptWin(s=90),AdaptWin,0.112486,0.028503,0.159091,0.171429,63,25,112
H3N2,fubar_bf,AdaptWin(s=85),AdaptWin,0.050607,0.055203,0.109375,0.24186,103,25,112
H3N2,fubar_bf,FreqThresh(p=80),FreqThresh,0.065411,0.017243,0.119403,0.217195,109,25,112
H3N2,fubar_bf,FreqThresh(p=85),FreqThresh,0.07914,0.039235,0.130841,0.206186,82,25,112
H3N2,fubar_bf,FreqThresh(p=90),FreqThresh,0.130126,0.024976,0.175,0.155689,55,25,112
H3N2,fubar_bf,FreqThresh(p=95),FreqThresh,0.067983,0.025205,0.113208,0.1,28,25,112
H3N2,fubar_bf,"SWAN(w=10,k=1.0)",SWAN,0.206079,-0.014711,0.216216,0.032258,12,25,112
H3N2,fubar_bf,"SWAN(w=10,k=1.5)",SWAN,0.313028,0.033196,0.258065,0.033898,6,25,112
H3N2,fubar_bf,"SWAN(w=10,k=2.0)",SWAN,0.313028,0.033196,0.258065,0.033898,6,25,112
H3N2,fubar_bf,"SWAN(w=20,k=1.0)",SWAN,0.405038,-0.008687,0.388889,0.03252,11,25,112
H3N2,fubar_bf,"SWAN(w=20,k=1.5)",SWAN,0.405038,-0.008687,0.388889,0.03252,11,25,112
H3N2,fubar_bf,"SWAN(w=20,k=2.0)",SWAN,0.405038,-0.008687,0.388889,0.03252,11,25,112
H3N2,fubar_bf,"SWAN(w=50,k=1.0)",SWAN,0.259217,0.050983,0.291667,0.103704,23,25,112
H3N2,fubar_bf,"SWAN(w=50,k=1.5)",SWAN,0.259217,0.050983,0.291667,0.103704,23,25,112
H3N2,fubar_bf,"SWAN(w=50,k=2.0)",SWAN,0.259217,0.050983,0.291667,0.103704,23,25,112
H3N2,fubar_bf,MutClust-Orig(g=10),MutClust-Orig,0.009436,0.021896,0.088183,0.342508,542,25,112
HIV-1,freq,Wavelet(t=1.0),Wavelet,0.054499,-0.089016,0.119658,0.070423,94,23,48
HIV-1,freq,Wavelet(t=1.5),Wavelet,0.210618,-0.011578,0.254545,0.075,32,23,48
HIV-1,freq,Wavelet(t=2.0),Wavelet,0.252078,-0.020952,0.291667,0.054795,25,23,48
HIV-1,freq,KDE(p=75),KDE,0.098299,0.065517,0.147059,0.198758,113,23,48
HIV-1,freq,KDE(p=80),KDE,0.035318,0.079188,0.106195,0.202899,90,23,48
HIV-1,freq,KDE(p=85),KDE,-0.041572,0.115507,0.043956,0.224138,68,23,48
HIV-1,freq,SlidingTest(p=0.01),SlidingTest,0.15355,-0.000216,0.17931,0.152941,122,23,48
HIV-1,freq,SlidingTest(p=0.05),SlidingTest,0.12962,-0.016919,0.150943,0.160338,189,23,48
HIV-1,freq,GradPeak(p=0.2),GradPeak,-0.029174,-0.043436,0.0,0.0,7,23,48
HIV-1,freq,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0,23,48
HIV-1,freq,LocalContrast(z=1.0),LocalContrast,-0.029044,-0.00401,0.049383,0.113208,58,23,48
HIV-1,freq,LocalContrast(z=1.5),LocalContrast,-0.06635,0.010169,0.0,0.097561,34,23,48
HIV-1,freq,LocalContrast(z=2.0),LocalContrast,-0.043097,0.016042,0.0,0.063492,15,23,48
HIV-1,freq,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.012237,-0.020952,0.041667,0.054795,25,23,48
HIV-1,freq,"CUSUM(d=0.5,h=4.0)",CUSUM,0.028606,-0.00808,0.058824,0.033898,11,23,48
HIV-1,freq,"CUSUM(d=0.5,h=5.0)",CUSUM,0.045139,-0.046488,0.064516,0.0,8,23,48
HIV-1,freq,AdaptiveKnee,AdaptiveKnee,0.087114,0.029518,0.121019,0.19469,291,23,48
HIV-1,freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.034907,0.020731,0.082474,0.189873,268,23,48
HIV-1,freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.029677,0.018181,0.08971,0.193069,356,23,48
HIV-1,freq,Spectral(z=1.5),Spectral,-0.024953,-0.039588,0.036364,0.05,32,23,48
HIV-1,freq,Spectral(z=2.0),Spectral,-0.047374,-0.033798,0.0,0.030303,18,23,48
HIV-1,freq,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,freq,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,freq,AdaptWin(s=90),AdaptWin,0.160773,0.013833,0.158996,0.181818,216,23,48
HIV-1,freq,AdaptWin(s=85),AdaptWin,0.123961,0.042339,0.127536,0.2,322,23,48
HIV-1,freq,FreqThresh(p=80),FreqThresh,0.134379,0.005257,0.175439,0.143885,91,23,48
HIV-1,freq,FreqThresh(p=85),FreqThresh,0.127472,-0.005092,0.175824,0.12069,68,23,48
HIV-1,freq,FreqThresh(p=90),FreqThresh,0.088233,0.002218,0.144928,0.106383,46,23,48
HIV-1,freq,FreqThresh(p=95),FreqThresh,0.053571,0.016433,0.109091,0.1,32,23,48
HIV-1,freq,"SWAN(w=10,k=1.0)",SWAN,0.121994,0.043804,0.140078,0.198582,234,23,48
HIV-1,freq,"SWAN(w=10,k=1.5)",SWAN,0.11733,0.009658,0.143498,0.177419,200,23,48
HIV-1,freq,"SWAN(w=10,k=2.0)",SWAN,0.161081,0.035611,0.176471,0.184615,147,23,48
HIV-1,freq,"SWAN(w=20,k=1.0)",SWAN,0.106154,0.060207,0.129252,0.206897,271,23,48
HIV-1,freq,"SWAN(w=20,k=1.5)",SWAN,0.115718,0.031505,0.133803,0.194175,261,23,48
HIV-1,freq,"SWAN(w=20,k=2.0)",SWAN,0.157945,-0.004829,0.161435,0.169355,200,23,48
HIV-1,freq,"SWAN(w=50,k=1.0)",SWAN,0.094736,0.056824,0.124183,0.205438,283,23,48
HIV-1,freq,"SWAN(w=50,k=1.5)",SWAN,0.094736,0.056824,0.124183,0.205438,283,23,48
HIV-1,freq,"SWAN(w=50,k=2.0)",SWAN,0.111883,0.010729,0.131944,0.185304,265,23,48
HIV-1,freq,MutClust-Orig(g=10),MutClust-Orig,0.02698,-0.085359,0.098501,0.186992,444,23,48
HIV-1,entropy,Wavelet(t=1.0),Wavelet,0.047257,-0.096623,0.114754,0.068027,99,23,48
HIV-1,entropy,Wavelet(t=1.5),Wavelet,0.148626,-0.026119,0.197183,0.083333,48,23,48
HIV-1,entropy,Wavelet(t=2.0),Wavelet,0.274948,-0.011573,0.311111,0.057143,22,23,48
HIV-1,entropy,KDE(p=75),KDE,0.051761,0.065517,0.117647,0.198758,113,23,48
HIV-1,entropy,KDE(p=80),KDE,0.060544,0.079188,0.123894,0.202899,90,23,48
HIV-1,entropy,KDE(p=85),KDE,0.04295,0.095407,0.10989,0.206897,68,23,48
HIV-1,entropy,SlidingTest(p=0.01),SlidingTest,0.190026,0.003826,0.188889,0.165854,157,23,48
HIV-1,entropy,SlidingTest(p=0.05),SlidingTest,0.153467,0.0156,0.150376,0.185567,243,23,48
HIV-1,entropy,GradPeak(p=0.2),GradPeak,-0.059782,-0.029405,0.0,0.052632,28,23,48
HIV-1,entropy,GradPeak(p=0.5),GradPeak,-0.034988,-0.003256,0.0,0.034483,10,23,48
HIV-1,entropy,LocalContrast(z=1.0),LocalContrast,-0.034221,-0.01281,0.047059,0.109091,62,23,48
HIV-1,entropy,LocalContrast(z=1.5),LocalContrast,-0.018009,0.000397,0.039216,0.078947,28,23,48
HIV-1,entropy,LocalContrast(z=2.0),LocalContrast,-0.045987,0.044806,0.0,0.092308,17,23,48
HIV-1,entropy,"CUSUM(d=0.3,h=3.0)",CUSUM,0.029024,0.099555,0.081633,0.162162,26,23,48
HIV-1,entropy,"CUSUM(d=0.5,h=4.0)",CUSUM,0.101923,0.045582,0.121212,0.068966,10,23,48
HIV-1,entropy,"CUSUM(d=0.5,h=5.0)",CUSUM,0.045139,-0.046488,0.064516,0.0,8,23,48
HIV-1,entropy,AdaptiveKnee,AdaptiveKnee,0.102673,0.050454,0.125,0.202899,297,23,48
HIV-1,entropy,ScoreDBSCAN(ep=8),ScoreDBSCAN,-0.02527,0.049133,0.085106,0.201954,259,23,48
HIV-1,entropy,ScoreDBSCAN(ep=15),ScoreDBSCAN,-0.011755,-0.050319,0.094293,0.17757,380,23,48
HIV-1,entropy,Spectral(z=1.5),Spectral,0.018878,-0.005772,0.075472,0.076923,30,23,48
HIV-1,entropy,Spectral(z=2.0),Spectral,-0.001088,-0.03959,0.046512,0.029412,20,23,48
HIV-1,entropy,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,entropy,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,entropy,AdaptWin(s=90),AdaptWin,0.126514,0.047119,0.128655,0.201635,319,23,48
HIV-1,entropy,AdaptWin(s=85),AdaptWin,0.146328,0.042339,0.133333,0.2,322,23,48
HIV-1,entropy,FreqThresh(p=80),FreqThresh,0.163426,0.009157,0.196429,0.145985,89,23,48
HIV-1,entropy,FreqThresh(p=85),FreqThresh,0.101354,0.03748,0.155556,0.156522,67,23,48
HIV-1,entropy,FreqThresh(p=90),FreqThresh,0.090816,0.052792,0.147059,0.150538,45,23,48
HIV-1,entropy,FreqThresh(p=95),FreqThresh,-0.008044,0.01787,0.043478,0.084507,23,23,48
HIV-1,entropy,"SWAN(w=10,k=1.0)",SWAN,0.1073,0.058116,0.126984,0.205882,292,23,48
HIV-1,entropy,"SWAN(w=10,k=1.5)",SWAN,0.089428,0.066242,0.124138,0.209524,267,23,48
HIV-1,entropy,"SWAN(w=10,k=2.0)",SWAN,0.187317,0.000602,0.186813,0.164251,159,23,48
HIV-1,entropy,"SWAN(w=20,k=1.0)",SWAN,0.101747,0.064132,0.124611,0.208092,298,23,48
HIV-1,entropy,"SWAN(w=20,k=1.5)",SWAN,0.10545,0.055061,0.126183,0.204678,294,23,48
HIV-1,entropy,"SWAN(w=20,k=2.0)",SWAN,0.139957,0.05217,0.142857,0.203279,257,23,48
HIV-1,entropy,"SWAN(w=50,k=1.0)",SWAN,0.10082,0.06261,0.124224,0.207493,299,23,48
HIV-1,entropy,"SWAN(w=50,k=1.5)",SWAN,0.10082,0.06261,0.124224,0.207493,299,23,48
HIV-1,entropy,"SWAN(w=50,k=2.0)",SWAN,0.10082,0.06261,0.124224,0.207493,299,23,48
HIV-1,entropy,MutClust-Orig(g=10),MutClust-Orig,0.024601,-0.100727,0.098291,0.186613,445,23,48
HIV-1,rare_freq,Wavelet(t=1.0),Wavelet,-0.058049,-0.04502,0.025,0.07619,57,23,48
HIV-1,rare_freq,Wavelet(t=1.5),Wavelet,-0.06635,-0.071548,0.0,0.02439,34,23,48
HIV-1,rare_freq,Wavelet(t=2.0),Wavelet,-0.062028,-0.063492,0.0,0.025641,30,23,48
HIV-1,rare_freq,KDE(p=75),KDE,0.051761,-0.000885,0.117647,0.149068,113,23,48
HIV-1,rare_freq,KDE(p=80),KDE,0.060544,0.007199,0.123894,0.144928,90,23,48
HIV-1,rare_freq,KDE(p=85),KDE,0.099298,-0.005092,0.153846,0.12069,68,23,48
HIV-1,rare_freq,SlidingTest(p=0.01),SlidingTest,-0.008456,-0.041042,0.059701,0.065217,44,23,48
HIV-1,rare_freq,SlidingTest(p=0.05),SlidingTest,0.073128,-0.042791,0.132231,0.109589,98,23,48
HIV-1,rare_freq,GradPeak(p=0.2),GradPeak,0.0,0.0,0.0,0.0,0,23,48
HIV-1,rare_freq,GradPeak(p=0.5),GradPeak,0.0,0.0,0.0,0.0,0,23,48
HIV-1,rare_freq,LocalContrast(z=1.0),LocalContrast,0.031589,-0.05795,0.102041,0.081301,75,23,48
HIV-1,rare_freq,LocalContrast(z=1.5),LocalContrast,0.033882,-0.057338,0.095238,0.045455,40,23,48
HIV-1,rare_freq,LocalContrast(z=2.0),LocalContrast,-0.041588,-0.020456,0.0,0.032258,14,23,48
HIV-1,rare_freq,"CUSUM(d=0.3,h=3.0)",CUSUM,0.013117,-0.024062,0.052632,0.031746,15,23,48
HIV-1,rare_freq,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.029174,-0.043436,0.0,0.0,7,23,48
HIV-1,rare_freq,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.021979,-0.032724,0.0,0.0,4,23,48
HIV-1,rare_freq,AdaptiveKnee,AdaptiveKnee,0.059328,-0.048914,0.121951,0.074766,59,23,48
HIV-1,rare_freq,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.071597,-0.030928,0.111406,0.179104,354,23,48
HIV-1,rare_freq,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.086219,-0.053949,0.113402,0.174334,365,23,48
HIV-1,rare_freq,Spectral(z=1.5),Spectral,0.090816,-0.019197,0.147059,0.086022,45,23,48
HIV-1,rare_freq,Spectral(z=2.0),Spectral,0.037776,-0.047508,0.086957,0.028169,23,23,48
HIV-1,rare_freq,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,rare_freq,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,rare_freq,AdaptWin(s=90),AdaptWin,0.06366,-0.043319,0.126126,0.102941,88,23,48
HIV-1,rare_freq,AdaptWin(s=85),AdaptWin,0.110998,-0.057591,0.137097,0.14652,225,23,48
HIV-1,rare_freq,FreqThresh(p=80),FreqThresh,0.048101,-0.031676,0.11399,0.146789,170,23,48
HIV-1,rare_freq,FreqThresh(p=85),FreqThresh,0.059328,-0.048914,0.121951,0.074766,59,23,48
HIV-1,rare_freq,FreqThresh(p=90),FreqThresh,0.07393,-0.057347,0.133333,0.06,52,23,48
HIV-1,rare_freq,FreqThresh(p=95),FreqThresh,0.044332,-0.042322,0.090909,0.028986,21,23,48
HIV-1,rare_freq,"SWAN(w=10,k=1.0)",SWAN,0.023465,-0.007878,0.1,0.145455,117,23,48
HIV-1,rare_freq,"SWAN(w=10,k=1.5)",SWAN,0.06846,-0.074793,0.12963,0.075188,85,23,48
HIV-1,rare_freq,"SWAN(w=10,k=2.0)",SWAN,0.060373,-0.075612,0.123711,0.065574,74,23,48
HIV-1,rare_freq,"SWAN(w=20,k=1.0)",SWAN,0.102481,-0.055154,0.147651,0.114943,126,23,48
HIV-1,rare_freq,"SWAN(w=20,k=1.5)",SWAN,0.065705,-0.068313,0.126984,0.092715,103,23,48
HIV-1,rare_freq,"SWAN(w=20,k=2.0)",SWAN,0.076833,-0.06653,0.135922,0.078125,80,23,48
HIV-1,rare_freq,"SWAN(w=50,k=1.0)",SWAN,0.079993,-0.019378,0.13253,0.146597,143,23,48
HIV-1,rare_freq,"SWAN(w=50,k=1.5)",SWAN,0.121568,-0.067288,0.161765,0.099379,113,23,48
HIV-1,rare_freq,"SWAN(w=50,k=2.0)",SWAN,0.131102,-0.057719,0.169231,0.103226,107,23,48
HIV-1,rare_freq,MutClust-Orig(g=10),MutClust-Orig,0.0,0.0,0.0,0.0,0,23,48
HIV-1,homoplasy,Wavelet(t=1.0),Wavelet,0.13778,-0.098124,0.181818,0.048387,76,23,48
HIV-1,homoplasy,Wavelet(t=1.5),Wavelet,0.063307,-0.066665,0.125,0.057143,57,23,48
HIV-1,homoplasy,Wavelet(t=2.0),Wavelet,-0.059782,-0.089008,0.0,0.0,28,23,48
HIV-1,homoplasy,KDE(p=75),KDE,-0.041316,0.015715,0.058824,0.161491,113,23,48
HIV-1,homoplasy,KDE(p=80),KDE,-0.015136,0.025196,0.070796,0.15942,90,23,48
HIV-1,homoplasy,KDE(p=85),KDE,0.014776,0.035108,0.087912,0.155172,68,23,48
HIV-1,homoplasy,SlidingTest(p=0.01),SlidingTest,0.130134,-0.058077,0.161491,0.11828,138,23,48
HIV-1,homoplasy,SlidingTest(p=0.05),SlidingTest,0.122734,-0.016042,0.153005,0.153846,160,23,48
HIV-1,homoplasy,GradPeak(p=0.2),GradPeak,0.203342,-0.016307,0.083333,0.0,1,23,48
HIV-1,homoplasy,GradPeak(p=0.5),GradPeak,0.203342,-0.016307,0.083333,0.0,1,23,48
HIV-1,homoplasy,LocalContrast(z=1.0),LocalContrast,-0.055796,-0.084984,0.025641,0.038835,55,23,48
HIV-1,homoplasy,LocalContrast(z=1.5),LocalContrast,-0.058636,-0.087301,0.0,0.0,27,23,48
HIV-1,homoplasy,LocalContrast(z=2.0),LocalContrast,-0.043097,-0.064167,0.0,0.0,15,23,48
HIV-1,homoplasy,"CUSUM(d=0.3,h=3.0)",CUSUM,0.043146,-0.02229,0.101695,0.071429,36,23,48
HIV-1,homoplasy,"CUSUM(d=0.5,h=4.0)",CUSUM,0.092173,-0.042322,0.136364,0.028986,21,23,48
HIV-1,homoplasy,"CUSUM(d=0.5,h=5.0)",CUSUM,0.00412,-0.033798,0.04878,0.030303,18,23,48
HIV-1,homoplasy,AdaptiveKnee,AdaptiveKnee,0.077872,-0.064128,0.134328,0.100629,111,23,48
HIV-1,homoplasy,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.050746,0.064993,0.108262,0.207447,328,23,48
HIV-1,homoplasy,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.016341,0.09768,0.099057,0.209354,401,23,48
HIV-1,homoplasy,Spectral(z=1.5),Spectral,-0.059782,-0.059206,0.0,0.026316,28,23,48
HIV-1,homoplasy,Spectral(z=2.0),Spectral,-0.051349,-0.042322,0.0,0.028986,21,23,48
HIV-1,homoplasy,Bayes(prior=0.1),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,homoplasy,Bayes(prior=0.15),Bayes,0.0,0.0,0.0,0.0,0,23,48
HIV-1,homoplasy,AdaptWin(s=90),AdaptWin,0.094324,-0.023819,0.135266,0.155172,184,23,48
HIV-1,homoplasy,AdaptWin(s=85),AdaptWin,0.192936,-0.012528,0.175439,0.166008,205,23,48
HIV-1,homoplasy,FreqThresh(p=80),FreqThresh,0.035318,-0.118782,0.106195,0.043478,90,23,48
HIV-1,homoplasy,FreqThresh(p=85),FreqThresh,0.013256,-0.107092,0.086957,0.034188,69,23,48
HIV-1,homoplasy,FreqThresh(p=90),FreqThresh,0.021614,-0.092836,0.086957,0.021277,46,23,48
HIV-1,homoplasy,FreqThresh(p=95),FreqThresh,-0.010179,-0.082018,0.042553,0.0,24,23,48
HIV-1,homoplasy,"SWAN(w=10,k=1.0)",SWAN,0.093198,-0.02536,0.134615,0.154506,185,23,48
HIV-1,homoplasy,"SWAN(w=10,k=1.5)",SWAN,0.120248,-0.034195,0.151351,0.142857,162,23,48
HIV-1,homoplasy,"SWAN(w=10,k=2.0)",SWAN,0.132944,-0.03369,0.16,0.14,152,23,48
HIV-1,homoplasy,"SWAN(w=20,k=1.0)",SWAN,0.130762,-0.029972,0.151659,0.152542,188,23,48
HIV-1,homoplasy,"SWAN(w=20,k=1.5)",SWAN,0.092076,-0.026899,0.133971,0.153846,186,23,48
HIV-1,homoplasy,"SWAN(w=20,k=2.0)",SWAN,0.097726,-0.019184,0.137255,0.157205,181,23,48
HIV-1,homoplasy,"SWAN(w=50,k=1.0)",SWAN,0.128483,-0.018462,0.150235,0.159664,190,23,48
HIV-1,homoplasy,"SWAN(w=50,k=1.5)",SWAN,0.128483,-0.018462,0.150235,0.159664,190,23,48
HIV-1,homoplasy,"SWAN(w=50,k=2.0)",SWAN,0.128483,-0.018462,0.150235,0.159664,190,23,48
HIV-1,homoplasy,MutClust-Orig(g=10),MutClust-Orig,0.021979,0.032724,0.098081,0.194332,446,23,48
HIV-1,esm2_llr,Wavelet(t=1.0),Wavelet,-0.105449,0.015037,0.0,0.144,77,23,48
HIV-1,esm2_llr,Wavelet(t=1.5),Wavelet,-0.079259,0.070301,0.0,0.168421,47,23,48
HIV-1,esm2_llr,Wavelet(t=2.0),Wavelet,-0.04003,-0.016619,0.0,0.032787,13,23,48
HIV-1,esm2_llr,KDE(p=75),KDE,-0.064585,-0.034087,0.044118,0.124224,113,23,48
HIV-1,esm2_llr,KDE(p=80),KDE,-0.116043,-0.06479,0.0,0.086957,90,23,48
HIV-1,esm2_llr,KDE(p=85),KDE,-0.09792,-0.105591,0.0,0.034483,68,23,48
HIV-1,esm2_llr,SlidingTest(p=0.01),SlidingTest,-0.010953,-0.016307,0.0,0.0,1,23,48
HIV-1,esm2_llr,SlidingTest(p=0.05),SlidingTest,-0.071493,0.072668,0.0,0.16092,39,23,48
HIV-1,esm2_llr,GradPeak(p=0.2),GradPeak,0.021278,-0.002736,0.076923,0.077922,29,23,48
HIV-1,esm2_llr,GradPeak(p=0.5),GradPeak,0.033467,-0.003256,0.060606,0.034483,10,23,48
HIV-1,esm2_llr,LocalContrast(z=1.0),LocalContrast,-0.086603,-0.019048,0.0,0.097087,55,23,48
HIV-1,esm2_llr,LocalContrast(z=1.5),LocalContrast,-0.072492,-0.006746,0.0,0.090909,40,23,48
HIV-1,esm2_llr,LocalContrast(z=2.0),LocalContrast,-0.064215,0.016433,0.0,0.1,32,23,48
HIV-1,esm2_llr,"CUSUM(d=0.3,h=3.0)",CUSUM,-0.04003,-0.016619,0.0,0.032787,13,23,48
HIV-1,esm2_llr,"CUSUM(d=0.5,h=4.0)",CUSUM,-0.02698,-0.040169,0.0,0.0,6,23,48
HIV-1,esm2_llr,"CUSUM(d=0.5,h=5.0)",CUSUM,-0.015507,-0.023088,0.0,0.0,2,23,48
HIV-1,esm2_llr,AdaptiveKnee,AdaptiveKnee,-0.069467,-0.051015,0.0,0.047059,37,23,48
HIV-1,esm2_llr,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.096229,0.02179,0.116711,0.19403,354,23,48
HIV-1,esm2_llr,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.045005,-0.002218,0.103044,0.190265,404,23,48
HIV-1,esm2_llr,Spectral(z=1.5),Spectral,-0.057472,-0.02386,0.0,0.054054,26,23,48
HIV-1,esm2_llr,Spectral(z=2.0),Spectral,-0.041588,-0.020456,0.0,0.032258,14,23,48
HIV-1,esm2_llr,Bayes(prior=0.1),Bayes,-0.015507,-0.023088,0.0,0.0,2,23,48
HIV-1,esm2_llr,Bayes(prior=0.15),Bayes,-0.045987,-0.068468,0.0,0.0,17,23,48
HIV-1,esm2_llr,AdaptWin(s=90),AdaptWin,-0.104622,-0.00205,0.0,0.129032,76,23,48
HIV-1,esm2_llr,AdaptWin(s=85),AdaptWin,-0.1689,0.02645,0.009852,0.184211,180,23,48
HIV-1,esm2_llr,FreqThresh(p=80),FreqThresh,-0.090816,-0.010798,0.017699,0.130435,90,23,48
HIV-1,esm2_llr,FreqThresh(p=85),FreqThresh,-0.069746,-0.005092,0.021978,0.12069,68,23,48
HIV-1,esm2_llr,FreqThresh(p=90),FreqThresh,-0.077362,-0.06719,0.0,0.043011,45,23,48
HIV-1,esm2_llr,FreqThresh(p=95),FreqThresh,-0.053864,-0.014819,0.0,0.056338,23,23,48
HIV-1,esm2_llr,"SWAN(w=10,k=1.0)",SWAN,-0.103304,-0.001594,0.015748,0.144737,104,23,48
